咪咕体育,#genre#
 07/26 19:45_2025斗阵·泉BA篮球赛 池店赛区 DAY3_2025斗阵·泉BA篮球赛 池店赛区 DAY3_2025和美乡村篮球赛: 洛江河市VS晋江西园·绿叶，洛江罗溪VS台商洛阳,http://one.loiey.top:55488/migu/956554680.m3u8?migutoken=4f10b2d95491049976ca7a7138162dbc5391e4df5e6c12df6eb82887e24f63e1aea509ae2d4a131ddd54a61540774ac2ab05045c01c8c8288287b6188cc53b9d0b4664aac958f08fcfcbe6a7
 07/26 19:45_2025斗阵·泉BA篮球赛 宝盖赛区 DAY3_2025斗阵·泉BA篮球赛 宝盖赛区 DAY3_2025和美乡村篮球赛: 丰泽北峰·商会VS台商百崎乡·隆盛，南安石井VS石狮宝盖,http://one.loiey.top:55488/migu/956554683.m3u8?migutoken=0f793954bfb1cd053e655c7b37e46bfe8fd9aba24006752ab84e94983ca81959219e47b31d6836f36dd68ca57772ed0b8c210185183109389e5257ba4f9367b1e07ef817b085d905bd16c6a7
 07/26 19:45_中超联赛_云南玉昆 vs 深圳新鹏城_张天翼 于海,http://one.loiey.top:55488/migu/956561620.m3u8?migutoken=2d775fddd30f9f565814db9053848bb205a1a7e5d3080edda0eb4b0751c9a60b7440cab3f2ac291445a36b983f8c64aa02dc2ae7a1bcaa5510c1fbfde9890d2391576e4948c07e57ba5f2bd6
 07/26 19:45_中超联赛_云南玉昆 vs 深圳新鹏城_赛场原声,http://one.loiey.top:55488/migu/956561584.m3u8?migutoken=d041a94c45ddb019bec78d0d583ed8ef033a44537322a387c5e28b4b3e87f4f52a2ad29ab4b3c437d9c7eacb3b23a3c6534ff75d9f898c88ebe4e8e13eb2883b6ee8aa8cf22ca9c4ee7cad64
 07/26 20:00_布兹科娃2-1诺斯科娃逆转夺冠_布兹科娃2-1诺斯科娃逆转夺冠_清流,http://one.loiey.top:55488/migu/956345222.m3u8?migutoken=5ad013d94c29e116ab4ec0f4d0456511734a90be34c756f89eca8732893af241ffeeaa44a3defe1ebedb06ba3dea6789bc7e037faacb75d9cabadaa32c5b0b3712472744876b40a873d13acb
 07/26 20:00_布兹科娃2-1诺斯科娃逆转夺冠_布兹科娃2-1诺斯科娃逆转夺冠_英文原声,http://one.loiey.top:55488/migu/956345237.m3u8?migutoken=6a660fb90939be6c90ca9649c11300fac6da4d40ea04328f652bdd9f206db6b33ab3f266cd90bf771ed55566777d22340e4890a5da30e3d165c601a55fd3a289b786dd4fd078b0a23a8f60bf
 07/26 19:50_福建闽港澳台“同心杯”篮球邀请赛_福建浔兴俱乐部vs台湾桃园台啤永丰云豹_解说,http://one.loiey.top:55488/migu/956620476.m3u8?migutoken=07e944604bcc8a679816e5a84c6c580cd2d97913c09e47907b7e2e1543196daa2a09141845ce4bef82f8ec4dc48ff7a0e26be5439c945919d4d72bc22d74d7991e8008744d308089ce665c3d
 07/26 21:00_JDG vs WE_JDG vs WE_官方解说,http://one.loiey.top:55488/migu/956383384.m3u8?migutoken=5f8ddcb1b5b441f3cb21223e063af59e1f8e2c6069ad5c5b961cf488814b79aba4bda6b1a34c183e66154f61dabec671deb8f46b39321d3cc081fb9dbccf32a737aea5c12e10a7ff65a47035
 07/26 21:00_美和/沙月女双冲决赛 雨果情侣组合争冠_美和/沙月女双冲决赛 雨果情侣组合争冠_1号桌,http://one.loiey.top:55488/migu/956348066.m3u8?migutoken=c18a0b728fbd21b4690bf96300e789d5004595685fd877b780189b23a04c6a995dce78e64dc6b038e2546aa2d06c72917a21cfceb77ea1cbe2b82f0154b81332fc00da5d4ee0165f5c7369a6
 07/26 21:00_美和/沙月女双冲决赛 雨果情侣组合争冠_美和/沙月女双冲决赛 雨果情侣组合争冠_英文解说,http://one.loiey.top:55488/migu/956348116.m3u8?migutoken=1b3ac74923375dbccef6fee09005ebce654d7217caee8954cf4dda3b4f6f5d5852d75a1409ce47b1ec37cb9d41367b7e97630fca926e681aa3c9809357dcd56936418974967006984704f699
 07/26 17:00_林德4-1普卡 桥本帆乃香女单问鼎_林德4-1普卡 桥本帆乃香女单问鼎_1号桌,http://one.loiey.top:55488/migu/956347878.m3u8?migutoken=e3b0f8451bfb0cd143bb7d703c28850d15766551efae8b71a61b62de611907bdae9d5b11bbc608c96de683d96325660023ffc025aff729d4ab85115057acb8a7e2b08182dfec2e8bfc3536f2
 07/26 17:00_林德4-1普卡 桥本帆乃香女单问鼎_林德4-1普卡 桥本帆乃香女单问鼎_英文解说,http://one.loiey.top:55488/migu/956347923.m3u8?migutoken=b3a9b7d24df639af87a392360f208c16368c497fbbb17faa8d72aa39e4fd052364613410fa553d857a1cbcd811903a639ee2943d8ebd7ebe21f1a393f5f1e8c722a29e09d5cc26b5b01379e5
郝俊),http://one.loiey.top:55488/migu/956563198.m3u8?migutoken=1d8636a0d9580130a220d3c063d22db7a2e14f755c6bbd3365f95f8e430df24d623bdf90c8b6abc0b0cfeb23cf7d2f4430d76e58ebfcd734b6e36d3212faf98afdec367353f01736da8ca958
 07/26 23:55_UFC阿布扎比站：惠特克VS里德尔_UFC阿布扎比站：惠特克VS里德尔_英文原声,http://one.loiey.top:55488/migu/956563242.m3u8?migutoken=3c9e4eb980b79c88eda8d7ea81162d28bb3bde6dc69f1dc7d4a0df4fb7e135b7632378cf2212715890b565fbf61e07d64d00cfe9fd5fa5b5498354f21b403e8440ceaa6c0afc9ae3de8ab30d
 07/27 02:30_莱巴金娜、拉杜卡努冲决赛_莱巴金娜、拉杜卡努冲决赛_清流,http://one.loiey.top:55488/migu/956346124.m3u8?migutoken=6d11ac18310d495cf73d6cc5cf735076f6f2d40ae46891c86f8c44c0c43641f82de55ffb37aca1b273171361c702cb001e56ec488c58121be66615a614fe8624c5c27b9214f7d30cdaf042dd
 07/27 02:30_莱巴金娜、拉杜卡努冲决赛_莱巴金娜、拉杜卡努冲决赛_英文原声,http://one.loiey.top:55488/migu/956346127.m3u8?migutoken=7198ee58f8a3495946cfec17295ea747ea4694f54ec6d5f179c2aa326d8125164768ea193ab95a3a324059790f422a48e98d4a4f440a908c1a8cb0f31af38236689efbd9c40063020e18ce48
 07/27 02:30_莱巴金娜、拉杜卡努冲决赛_莱巴金娜、拉杜卡努冲决赛_乔迁,http://one.loiey.top:55488/migu/956346156.m3u8?migutoken=6b3ca21b3334e65003f3118cce53609070ff2a3f77189b47dd9617f1d0b7f01853f6baf73ef5e73294c6ef1aa44100d3bd9845bd85c219bbed1624960584a70024597bfea7d136e0d38d8fa5
 07/27 04:30_莱巴金娜、拉杜卡努冲决赛_莱巴金娜、拉杜卡努冲决赛_李宁,http://one.loiey.top:55488/migu/956346202.m3u8?migutoken=0ff80ec191014d201060557a8e384678b0af750a4dae55988c25185d234b4d659a213670e7a480d21ccb3d7e8f6d32108636b971b90a26c36762b62e6a2004da05b7feff24c7b89703238745
 07/27 03:50_英超夏季联赛_埃弗顿vs伯恩茅斯_孙雨轩,http://one.loiey.top:55488/migu/956621671.m3u8?migutoken=15679c1517fcd3d65689a4a0baf22b44248bc806908fb9edb7299c27bdfa5c20f0a17b21ad29c2bee616524b5bd6b022bb0f04e7e4cbadf087af28f30bfc6c0000d24a12ca3b9431a1d5cb88
 07/27 06:50_英超夏季联赛_曼联vs西汉姆联_刘焕 贺宇,http://one.loiey.top:55488/migu/956621754.m3u8?migutoken=69b93e06ff121f11e6d8ce43e0572166f5567af90937bc0bb3a8eaea54b9e38a899c1532fdca48e9834e93d27c2ea6c72bc467a342f569d488e5231d901c27941040412c97ccc5b876394d6f
 07/27 07:20_2025润泰翡翠城中国田径协会10公里精英赛_2025润泰翡翠城中国田径协会10公里精英赛_清流播出,http://one.loiey.top:55488/migu/956562832.m3u8?migutoken=a170a2dd479bebf1b38ae1944bfff2fd8b5e6fcefc526c9cd919049764269d084a7536055b9f044e34f12d4018d5b3e68047b1604cf137afe2774ed267328bd8783219212b26ed44557958d3
 07/27 08:20_贵州村超20强决赛day3_贵州村超20强决赛day3_分省,http://one.loiey.top:55488/migu/956503683.m3u8?migutoken=2716b651d02ed14d5f24322d955c2ac02f8eea9c72729d8820cc8d1d4da094841e266531585f2b713352e7121e476e4610289fe257e9a9e52c1406a3df0c2de060cc7b85d754643e7d8febc9
 07/27 08:50_2025年西藏林芝南迦巴瓦高原体育大会——林芝半程马拉松_2025年西藏林芝南迦巴瓦高原体育大会——林芝半程马拉松_清流播出,http://one.loiey.top:55488/migu/956562862.m3u8?migutoken=0d97db4c4f71bddc8f2b592ffccc6fad6d7543769dbee69e7a32dd9a549a48d69cb625e67e126b41cc9d3770e77c2ebd1d170c1afe8081ad1efea6f60649ce30e0a6661f285f6feba647c13b
 07/27 09:00_“林丹杯”羽毛球公开赛（西安站）半决赛、季军赛、决赛_“林丹杯”羽毛球公开赛（西安站）半决赛、季军赛、决赛_西安站,http://one.loiey.top:55488/migu/956581767.m3u8?migutoken=dd8aeff9f18dbd73f776382ec41841e31d7df1ed3c75ef55bb0f63d2cf3122cc2874944f5df02172a307c477bbb424dc820e63d391e6e2dcb5f3706116ec5b580e77dc76a98fc149e21b995b
 07/27 10:00_张雨霏出战女子100蝶泳预赛_张雨霏出战女子100蝶泳预赛_C5,http://one.loiey.top:55488/migu/956652708.m3u8?migutoken=5b1a9f58ffef96c0909f84cb22ae6d61bd33fc2fd767aa5a223f7346380253b98dea0656a62a9d9f3672b507551eb43f93e4d71d201858d6d432d9fce7a2e7dfc826cb929f6f26e85b1520d2
 07/27 10:30_王楚钦领衔山东魏桥迎战安徽中程单招基地_王楚钦领衔山东魏桥迎战安徽中程单招基地_周冠达,http://one.loiey.top:55488/migu/956554084.m3u8?migutoken=230b650cfd513d824962dd76d01e2ac929880b85fdd3a5b0d8a647741ba694d7eb706ca7766ac8be8ca99a0fd769a65327dd3d0b67a0c6f6445acbe8c5d7447ee610ce47dd74bf152394b934
 07/27 10:30_王楚钦领衔山东魏桥迎战安徽中程单招基地_王楚钦领衔山东魏桥迎战安徽中程单招基地_侯英超,http://one.loiey.top:55488/migu/956554103.m3u8?migutoken=5b9cfdcf8174b0a81cb91370526c3faa936a15aca81d5c00f02e29a5c4814591875c7c83e0e8e855a234d34189fa520fc573a5b76d39daa01bc57d1e9c3e660f5c8020d1590a241828c937b5
 07/27 10:30_王楚钦领衔山东魏桥迎战安徽中程单招基地_王楚钦领衔山东魏桥迎战安徽中程单招基地_小马哥,http://one.loiey.top:55488/migu/956554106.m3u8?migutoken=aabf15c5770ff7747b580c2afb58d1379f110f503dce03c0df8b3edc6f14f50e420858874367e36e3211c8bda18af19e92d4653398406c301fed4db092ba11832e06c13905970d78d968ff65
 07/27 10:30_王楚钦领衔山东魏桥迎战安徽中程单招基地_王楚钦领衔山东魏桥迎战安徽中程单招基地_1号桌,http://one.loiey.top:55488/migu/956554043.m3u8?migutoken=cd38f2698ea44f506d38348938b2c667cd9dfd9bca4033e73e05829819b1bfb5ace1dc1b47100d5faba10953d807149fd07a08e555068b5083e21e6c523a66aec461569b55a6fe051fda3fc1
 07/27 10:30_王楚钦领衔山东魏桥迎战安徽中程单招基地_王楚钦领衔山东魏桥迎战安徽中程单招基地_2号桌,http://one.loiey.top:55488/migu/956554050.m3u8?migutoken=817c426a8e90780d88cd889385b78f980230dc9b9f7b14505e5372c6e5371bd1e213e257e8d05d53258829d66bc75610a24d10ec292adc6bd91201a5ff23b370c13b8d773018cda9a3c3e5a3
 07/27 10:30_王楚钦领衔山东魏桥迎战安徽中程单招基地_王楚钦领衔山东魏桥迎战安徽中程单招基地_3号桌,http://one.loiey.top:55488/migu/956554063.m3u8?migutoken=a8f698e0207d387d7b3755cf57cb7b05731449037e44075902400c0a724df22e57aacacb0ba9f16f4f1ffc0ce443aa9c33007681395bec814be25e56a0250d8287a78450d90f7c80a2c4c605
 07/27 10:30_王楚钦领衔山东魏桥迎战安徽中程单招基地_王楚钦领衔山东魏桥迎战安徽中程单招基地_4号桌,http://one.loiey.top:55488/migu/956554075.m3u8?migutoken=eaec4aedacfa19644436dac16656fbe3407d4f85ab3d2eb5cbbfa1192f7da97ea64d2389c090aa119e69f8a585fe6e9453bda6e621738571f4db0581a8eb1cef0996bd6b3b0892ee3f1bc5b7
 07/27 11:20_王楚钦领衔山东魏桥迎战安徽中程单招基地_王楚钦领衔山东魏桥迎战安徽中程单招基地_混采区,http://one.loiey.top:55488/migu/956553966.m3u8?migutoken=293fa841c6c5cf1898055fe5c3a1879f6d640ffead722f508ac5022989e885ff7dcaa61b6ac7ad8e1a027dd991707ccd14a544d38854fd4ac17630ebc20f2d93e46dcc06a19158dd557c7656
 07/27 14:55_朱勇鑫/谢佩铃出战混双10米台_朱勇鑫/谢佩铃出战混双10米台_C5,http://one.loiey.top:55488/migu/956652733.m3u8?migutoken=41c94af9ebeb24cfd1eef4eabfd8f9e918660946b56bb958d3c73a3f4ecf35d417b4a1521f3251d2eb0ce18374ff896d1551523d477df3eee8a042978b8004c05be50c1ec9e969cdb3f15208
 07/27 15:50_中乙联赛_泉州亚新vs广西蓝航_解说,http://one.loiey.top:55488/migu/956580324.m3u8?migutoken=5173849124611ec23beae4975d5ebc193c46ffd7fea78bfef12b909a628eaa942a56640fb73fa7a8ca8efcd9b2b177a0263442db792c7112a6b6a2b62df828478107c311533787a7bf650fe9
 07/27 15:50_中乙联赛_赣州瑞狮vs武汉三镇B队_解说,http://one.loiey.top:55488/migu/956580292.m3u8?migutoken=c87f8a8e9dfa3e3110e3bec136b5e65bcdf06ad6ccaebc420cc3d0c6ef466001e79ab86a0567409fae4f09f1a5567b82266500e34c3799f493e5e065455216c8f03c27f3ca4323d946451eb8
 07/27 15:50_中乙联赛_成都蓉城B队vs温州俱乐部中胤_解说,http://one.loiey.top:55488/migu/956580267.m3u8?migutoken=8c2066a938406a1fdd558f05e6f5ede4bf5d933f43bc002e3f19ab4d9557968985a1b3d12fc85f0bac0c8977754d84dfe30884f7ce76b273a318af5629260f191129c80b475bd51984b1eee2
 07/27 15:50_中乙联赛_广东铭途vs昆明城星_解说,http://one.loiey.top:55488/migu/956580224.m3u8?migutoken=f7f9b1691616fa2714f0944e906b7b3679f2cbd918c69465e77cb5722e46e79105b5f998872602979a07e504fe2e12813ee4b61dd522a22135ae806ddc28fe044a611914b8755bc4441983ba
 07/27 15:50_中乙联赛_贵州筑城竞技vs深圳二零二八_解说,http://one.loiey.top:55488/migu/956580168.m3u8?migutoken=f9b0fc5f1a5a0649d8444b48bbffbcafa3cfa9efdf02924745b132e5f7b02dc40e2be105ec8c3b329a18c6400de5a378f07be4c57297245ed78bc04446ee6e10881202c31b06f7efb28535ba
 07/27 15:50_中乙联赛_广西恒宸vs广州蒲公英德桦绿建_解说,http://one.loiey.top:55488/migu/956580136.m3u8?migutoken=4625810a8e2b89372aa0a0b0f5d12e1be3e2a032a72dfb2b22aec444ccce4cd850acda3bd334a8735c4c7521a807705285533c60e44e4264e7ed5fef3eb5641742780080928fee0a4556c6b3
 07/27 16:30_BLG vs FPX_BLG vs FPX_官方解说,http://one.loiey.top:55488/migu/956383768.m3u8?migutoken=ac0e31ec72a3dc0dd866d5239cce6d75933fb0cfabcba837d0ff2599f29b962e3e200cd5d14067b88af7e1e54b2f6fe01147743a01c6a14b05875a3b1c53d369987d9c60b41b9208c7da9a14
 07/27 17:50_超三联赛 南昌赛区第1站 淘汰赛及决赛_超三联赛 南昌赛区第1站 淘汰赛及决赛_王冠证,http://one.loiey.top:55488/migu/956571564.m3u8?migutoken=b31cb2b99a173853e083b548a8ca91f9f0f886a6d54446523a0a45f59ab0ac877dbaa89f51f4b04e7f1f7534ba1e0ad1155d9577f7dc97a2dd63a5830fe32b0fcdaa4150f5241aec4fdc178c
 07/27 18:30_樊振东、许昕领衔上海地产集团迎战山东鲁能_樊振东、许昕领衔上海地产集团迎战山东鲁能_程靖淇,http://one.loiey.top:55488/migu/956554310.m3u8?migutoken=f5ab5bc9a36298908dad7e67062ccfff8a47322a7226586ebc814d0e56cfe671c858becd0fc3dbdecefaccb34ae13738387e6f012e33f6ec98c0b08a3014f56bde1aff608abd96998ba2db00
 07/27 18:30_樊振东、许昕领衔上海地产集团迎战山东鲁能_樊振东、许昕领衔上海地产集团迎战山东鲁能_侯英超,http://one.loiey.top:55488/migu/956554325.m3u8?migutoken=248b695a45a2dd58aaca4401b100e1fdc17a66dd4ed9ada18ecac0818df9ca4bda39dec606b9930ca084eb41eea25dcfa8c420f9f8808721009d9ad2dcdaee81b79c13b9ed80401f77095bd2
 07/27 18:30_樊振东、许昕领衔上海地产集团迎战山东鲁能_樊振东、许昕领衔上海地产集团迎战山东鲁能_小马哥,http://one.loiey.top:55488/migu/956554346.m3u8?migutoken=2ba10a6261cb16cee99f5ef1cea0150ea598b6def49b1d404773302d5c269d61708e43c1782cfa62bd95787267980821201e0215fcd991b39c7e7c5519004cb45467c36c3ab2a5778a5fb2bc
 07/27 18:30_樊振东、许昕领衔上海地产集团迎战山东鲁能_樊振东、许昕领衔上海地产集团迎战山东鲁能_1号桌,http://one.loiey.top:55488/migu/956554243.m3u8?migutoken=c62be5d46ca4cceee3072b4565688867b783b0729e48fb3abca357d6a0f7219a31ac8dbd177321def5ebf62a31d4b5d749dcf1d4cf9d9efce99c490c86b59db8bd64f36c7b663811b6941a25
 07/27 18:30_樊振东、许昕领衔上海地产集团迎战山东鲁能_樊振东、许昕领衔上海地产集团迎战山东鲁能_3号桌,http://one.loiey.top:55488/migu/956554261.m3u8?migutoken=f23782bdfd32e71ce81b3e31325291fdb146f81d6814228412803f680626ccd9cbc0d34d4acbc1c48ebf5f4d366213ae322dab703bfb1b677cc6063dd6ac90ecaf5bcf5a9a37a803a571039b
 07/27 18:30_樊振东、许昕领衔上海地产集团迎战山东鲁能_樊振东、许昕领衔上海地产集团迎战山东鲁能_2号桌,http://one.loiey.top:55488/migu/956554252.m3u8?migutoken=2a255b1101d423f69c6e5daa35c86ceb98cba8df828125cfbc183f7d6afc2cc8c5cf852cf589b52a341e4feb7ac00da268f5a607bc9cf081eead3324c790efd7f39041b7cef21605f1314650
 07/27 18:30_樊振东、许昕领衔上海地产集团迎战山东鲁能_樊振东、许昕领衔上海地产集团迎战山东鲁能_5号桌,http://one.loiey.top:55488/migu/956554301.m3u8?migutoken=5f6cec2b502b2125c0aaee63d5c448af2e408a7c3841bd999a96d02e86cf1a1ce9edb22d78858c1b1cd2685f0605262fda953573eb5b9a1e1d89a9ceafa1e14b210b29e073ad7d8929b76ed3
 07/27 18:30_樊振东、许昕领衔上海地产集团迎战山东鲁能_樊振东、许昕领衔上海地产集团迎战山东鲁能_4号桌,http://one.loiey.top:55488/migu/956554279.m3u8?migutoken=9fd0ad62b6ff4d91ac6cb5b1e8a5c44c8c402318a64a48339d2002194ef45c5444b2cd6763445b719b6f662db3be336d87256259bade191c0d3bf946d076c4d8657bbe554acbf8fdd4bd0af6
 07/27 19:20_樊振东、许昕领衔上海地产集团迎战山东鲁能_樊振东、许昕领衔上海地产集团迎战山东鲁能_混采区,http://one.loiey.top:55488/migu/956554126.m3u8?migutoken=5d7554876916e074797f201170da57ba0649e2046098cea138a753e01dc2f2344460297e717fa1217bf3b57b067743dc83103fb02f7fb8c2a39b270b6feefdcefffb921e625482f10e64bbaf
 07/27 18:45_中超联赛_长春亚泰 vs 大连英博_孙雨轩 李毅,http://one.loiey.top:55488/migu/956561675.m3u8?migutoken=cc3c9337f0525b9d2e0be683b6ac5da313be99380923fbccfe35e6511326e5eb8ffe1400f4146ddac6e3869ca5c843e380f62b72ad61639c6d106d33e05924a32c05321b67e6fc6a103c6e30
 07/27 18:45_中超联赛_长春亚泰 vs 大连英博_赛场原声,http://one.loiey.top:55488/migu/956561646.m3u8?migutoken=9a76ec48dda6e841ab852fd258c56fb0a2480983364812a1f18571857d670132ed293738ef28184b8fddbc823d59be90c2028417aa11e1bfd37f9b8e578f600259b895e70ca215d32668c9ca
 07/27 18:45_中超联赛_青岛海牛 vs 天津津门虎_刘腾 雷腾龙,http://one.loiey.top:55488/migu/956561615.m3u8?migutoken=b62c716ba233289749a156a858e88a5d823a2dcda70afccb7d63087f344a52d35c6c8093913684ac5c01fc4415f0cbbdd4c31ce2459e4034700ae55c5cdcf2f6504deb3df596e3af6e6510f5
 07/27 18:45_中超联赛_青岛海牛 vs 天津津门虎_赛场原声,http://one.loiey.top:55488/migu/956561579.m3u8?migutoken=a5abc0cf5418cce9f0b50c8db1897c5e07b5c3dc22b5b1789eb225dc482bd39abd75fbd2e1d97192aceba42ece7a3c762b50990838bff4c79d947728a3725f29774116c2acbece7c77c9e525
 07/27 18:50_中甲联赛_大连鲲城 vs 青岛红狮_解说,http://one.loiey.top:55488/migu/956581846.m3u8?migutoken=abb0baa9bd78f0b83d8b129497ae47585c90e37f56c04564907a9dd803ec318abbb5794236c752a5d493172ff667600a95b82febb317da06f63872a1a1cfe57cb9060666deffd567d02e304a
 07/27 19:00_AL vs WBG_AL vs WBG_官方解说,http://one.loiey.top:55488/migu/956383882.m3u8?migutoken=58677fc2ec61e80d3efd3c51b0e8e13661249618bb25b94492e6fd6d7471c38fbdb11bbd9b880fb41a63fa5aa4aedff7195d52997bc8fd82070682d5322d80776c51bd18ca51fa96d5eef2e6
 07/27 19:20_中甲联赛_广西平果 vs 苏州东吴_解说,http://one.loiey.top:55488/migu/956581877.m3u8?migutoken=060c96203458f954b2df1ac1aef053716dd1774d542a2925962c7f0d447106765fb7a7ac827a4e05756b5d0e0bd323002d9aacd2fb4c835eb7cc292b816772bc18b3aef1ff17d0ddc64b9a31
 07/27 19:20_中甲联赛_广东广州豹 vs 定南赣联_解说,http://one.loiey.top:55488/migu/956581928.m3u8?migutoken=7a23741c8aa5b895cb30ec0623d513d916ce451f2e0b93e802533efd9bc737e1488a65ee32fe523b1a9c303e96e1421326165b35983d47f6678af04546408f8fc1c927b2fca93ffaeee9951e
 07/27 19:20_中甲联赛_南通支云 vs 南京城市_解说,http://one.loiey.top:55488/migu/956581953.m3u8?migutoken=0a4890bd8361ac35bc2136d49ee63ae28d344657151f0bd603f829f0e908b75181c073bae40005f1f3a16551e5eac539d40840232e8bdce587e121519a51adedbabd806d11e40ed9f8a9b18d
 07/27 19:20_NBL_江西鲸裕清酒vs广西威壮_解说,http://one.loiey.top:55488/migu/956480856.m3u8?migutoken=655545aca6e21f98f4908b6e1a99ff916a5190907e88ca8d8270b76674469088c466dc2e5ea0f88b8d69feb9180f79a9f5269db75f2f11dd651f10c27d7dd9860779090ccbbb6e4b25007546
